BBG Ticker,Equities,Currency
CAC Index,CAC40,EUR
UKX Index,FTSE 100,GBP
XBTUSD CURNCY,Bitcoin,USD
XETUSD CURNCY,Ethereum,USD
XAU CURNCY,Gold,USD
XAG CURNCY,Silver,USD
CO1 Comdty,Crude Oil,USD
PCMAGOI LX Equity,Pictet MAGO,EUR
LYEGTIE ID Equity,LYXOR EPSILON GLOBAL TR-IE,EUR
WINTFEI ID Equity,WINTON-TREND FD UCITS-EUR I,EUR
AQRTEUA LX Equity,AQR Alternative Funds UCITS,EUR
CGCGCI1 ID EQUITY,Cheyne Select UCITS Fund Plc - Cheyne Global Credit Fund,EUR
DTLA LN Equity,TLT 20 years,USD
URA US Equity,Global X Uranium ETF,USD
U-U CN Equity,Sprott Physical Uranium,CAD
GBSE IM Equity,Wisdometree Phisical Gold ,EUR
KRBN US Equity,Kraneshare Global Carbon ETF,USD
GDX US Equity,ETF Gold Miners,USD
OLA CN Equity,Orla Mining,CAD
GL3000U KY Equity,Gold 3000,USD
GOLDEUC LX Equity,Konwave Gold,USD
JBKJCHE LX Equity,Konwave Transition Metals,EUR
RAEAELS SW Equity,Rare Earth Elements Fund,CHF
ASALVLI LX Equity,Assenagon,EUR
QUAIGND LX Equity,Quadriga Igneo,EUR
MURDCCU LX Equity,One River,USD
MURDCCE LX Equity,One River ,EUR
BTCW SW Equity,Wisdomtree Bitcoin ETF,USD
ASOL SW Equity,21 shares Solana ETP,USD
AETH SW Equity,21 Shares Ethereum ETF,USD
JPMDMAC LX Equity,Private Bank Funds I - Dynamic Multi-Asset Fund (EUR),EUR
PIDMIAE ID Equity,PIMCO-DYN MLT AST-INSACCH EU,EUR
BMADM64E Index,Bloomberg Global EQ:FI 60:40 Index EUR,EUR
BMADM37E Index,Bloomberg Global EQ:FI 30:70 Index EUR,EUR
